tissue,annotation_original,subannotation_original,annotation_cleaned,subannotation_cleaned,n_cells
Aorta,adipocytes,.,adipocytes,.,54
Aorta,endothelial cells,.,endothelial,.,131
Aorta,fibroblasts,.,fibroblasts,.,35
Aorta,hematopoetic cells,.,hematopoietic,.,17
Aorta,heterogenous group of cells,adipocytes,adipocytes,.,39
Aorta,heterogenous group of cells,erythroblasts and adipocytes,unknown,.,51
Aorta,heterogenous group of cells,smooth muscle cells,smooth_muscle,.,37
Bladder,Basal,.,basal,.,99
Bladder,LuminalA1,.,luminal,a,191
Bladder,LuminalA2,.,luminal,a,245
Bladder,LuminalB,.,luminal,b,96
Bladder,MesenchymalA1,.,mesenchymal,a,170
Bladder,MesenchymalA2,.,mesenchymal,a,165
Bladder,MesenchymalB1,.,mesenchymal,b,156
Bladder,MesenchymalB2,.,mesenchymal,b,165
Brain_(Microglia),Macrophages,.,macrophages,.,36
Brain_(Microglia),Microglia,.,microglia,.,4329
Brain_(Non-microglia),NPCS,.,npcs,.,36
Brain_(Non-microglia),OPCs,.,opcs,.,202
Brain_(Non-microglia),astrocytes,Berg.Glia,astrocytes,berg_glia,30
Brain_(Non-microglia),astrocytes,cerebral_astrocytes,astrocytes,cerebral_astrocytes,403
Brain_(Non-microglia),astrocytes,myelinating_oligodendrocytes,astrocytes,myelinating_oligodendrocytes,11
Brain_(Non-microglia),endothelial,vSMCs,endothelial,vsmcs,14
Brain_(Non-microglia),endothelial,vascular,endothelial,vascular,625
Brain_(Non-microglia),neurons,doublet,neurons,doublet,2
Brain_(Non-microglia),neurons,excitatory,neurons,excitatory,73
Brain_(Non-microglia),neurons,inhibitory,neurons,inhibitory,98
Brain_(Non-microglia),neurons,undetermined,neurons,undetermined,23
Brain_(Non-microglia),oligodendrocytes,.,oligodendrocytes,.,1175
Brain_(Non-microglia),pericytes,.,pericytes,.,132
Brain_(Non-microglia),unknown,.,unknown,.,176
Colon,Amplifying Cell,.,amplifying,.,889
Colon,Chromaffin Cell,.,chromaffin,.,25
Colon,Cycling Undiff. Cell,.,undifferentiated,proliferating,206
Colon,Enterocyte 1,.,enterocytes,.,582
Colon,Enterocyte 2,.,enterocytes,.,200
Colon,Goblet Cell 1,.,goblet,.,219
Colon,Goblet Cell 2,.,goblet,.,208
Colon,Goblet Cell 3 (Batch Effect),.,goblet,.,153
Colon,Goblet Cell 4,.,goblet,.,143
Colon,Goblet Cell 5 (Batch Effect),.,goblet,.,91
Colon,Non-Cycling Undiff. Cell,.,undifferentiated,quiescent,571
Colon,Tuft Cell,.,tuft,.,45
Colon,Undiff. Cell (Batch Effect),.,undifferentiated,.,127
Diaphragm,B cells & T-cells,B cells & T-cells,b_cells,.,80
Diaphragm,endothelial cells,endothelial cells,endothelial,.,77
Diaphragm,fibro/adipogenic progenitors,fibro/adipogenic progenitors,mesenchymal_stem,.,240
Diaphragm,macrophages,macrophages,macrophages,.,31
Diaphragm,satellite cells 1,satellite cells 1,satellite,.,228
Diaphragm,satellite cells 2,satellite cells 2,satellite,.,214
Fat,B-cells,.,b_cells,.,513
Fat,Endothelial,.,endothelial,.,549
Fat,Endothelial?,.,endothelial,.,41
Fat,Epithelial?,.,epithelial,.,51
Fat,Granulocytes,.,granulocytes,.,409
Fat,Mono/macro/DCs,.,myeloid,.,479
Fat,Multipotent Progenitors,.,multipotent_progenitors,.,1924
Fat,Muscle?,.,muscle,.,27
Fat,NK-cells,.,natural_killer,.,129
Fat,Neutrophils,.,neutrophils,.,221
Fat,T-cells,.,t_cells,.,366
Heart,CMs,.,cardiomyocytes,.,140
Heart,Edc_1,.,endothelial,.,844
Heart,Edc_2_coronary_vascular,.,endothelial,coronary_vascular,293
Heart,Edc_3_endocardial,.,endothelial,endocardial,175
Heart,Fb_1,.,fibroblasts,.,940
Heart,Fb_2,.,fibroblasts,.,620
Heart,Fb_3,.,fibroblasts,.,492
Heart,Immune_Cells_1,.,immune,.,391
Heart,Immune_Cells_2,.,immune,.,97
Heart,Red_blood_cells,.,erythrocytes,.,11
Heart,SMCs,Myofibroblast,smooth_muscle,myofibroblast,175
Heart,SMCs,Smooth_Muscle_Cells,smooth_muscle,smooth_muscle_cells,43
Kidney,Collecting duct cells ,.,collecting_duct,.,44
Kidney,Endothelial cells,.,endothelial,.,40
Kidney,Fenestrated capillaries,.,fenestrated_capillary,.,69
Kidney,Fibroblasts,.,fibroblasts,.,65
Kidney,Immune cells,.,immune,.,38
Kidney,Proximal tubule cells,.,tubule,proximal,67
Kidney,Proximal tubule cells 3,.,tubule,proximal,40
Kidney,Proximal tubule cells 4,.,tubule,proximal,35
Kidney,Thick Ascending tubule cells,.,tubule,thick_ascending,67
Kidney,proximal tubule cells 2,.,tubule,proximal,52
Liver,B_cells,.,b_cells,.,29
Liver,NK/NKT,.,natural_killer,.,35
Liver,endothelial_cells,.,endothelial,.,196
Liver,hepatocytes,.,hepatocytes,.,399
Liver,kuppfer_cells,.,kuppfer,.,51
Lung,Alveolar Epithelial Cell Type I,.,epithelial,alveolar_type_i,2
Lung,Alveolar Macrophages,.,macrophages,alveolar,13
Lung,Aveolar Epithelial Cell Type II,.,epithelial,alveolar_type_ii,94
Lung,B Cells,.,b_cells,.,55
Lung,Ciliated Cells,.,ciliated,.,14
Lung,Club Cells,.,club,.,13
Lung,Dendritic Cells,.,dendritic,.,69
Lung,Endothelial Cell Type I,.,endothelial,.,446
Lung,Endothelial Cell Type II,.,endothelial,.,124
Lung,Endothelial Cell Type III,.,endothelial,.,67
Lung,Endothelial Cell Type IV,.,endothelial,.,101
Lung,Interstital Macrophages,.,macrophages,interstitial,56
Lung,Mesothelial Cells,.,mesothelial,.,2
Lung,Monocytes,.,monocytes,.,65
Lung,Natural Killer Cells,.,natural_killer,.,36
Lung,Neuroendocrine Cells,.,neuroendocrine,.,2
Lung,Remaining Epithelial Cells,.,remaining_epithelial,.,9
Lung,Stromal Cell Type I,.,stromal,.,142
Lung,Stromal Cell Type II,.,stromal,.,110
Lung,Stromal Cell Type III,.,stromal,.,47
Lung,Stromal Cell Type IV,.,stromal,.,42
Lung,Stromal Cell Type V,.,stromal,.,25
Lung,T Cells,.,t_cells,.,55
