cell_ontology_id,Class,Term IRI
CL:0000000,cell,http://purl.obolibrary.org/obo/CL_0000000
CL:0000001,primary cultured cell,http://purl.obolibrary.org/obo/CL_0000001
CL:0000002,obsolete immortal cell line cell,http://purl.obolibrary.org/obo/CL_0000002
CL:0000003,native cell,http://purl.obolibrary.org/obo/CL_0000003
CL:0000004,obsolete cell by organism,http://purl.obolibrary.org/obo/CL_0000004
CL:0000005,fibroblast neural crest derived,http://purl.obolibrary.org/obo/CL_0000005
CL:0000006,neuronal receptor cell,http://purl.obolibrary.org/obo/CL_0000006
CL:0000007,early embryonic cell,http://purl.obolibrary.org/obo/CL_0000007
CL:0000008,migratory cranial neural crest cell,http://purl.obolibrary.org/obo/CL_0000008
CL:0000009,obsolete fusiform initial,http://purl.obolibrary.org/obo/CL_0000009
CL:0000010,cultured cell,http://purl.obolibrary.org/obo/CL_0000010
CL:0000011,migratory trunk neural crest cell,http://purl.obolibrary.org/obo/CL_0000011
CL:0000012,obsolete cell by class,http://purl.obolibrary.org/obo/CL_0000012
CL:0000013,obsolete dentine secreting cell,http://purl.obolibrary.org/obo/CL_0000013
CL:0000014,germ line stem cell,http://purl.obolibrary.org/obo/CL_0000014
CL:0000015,male germ cell,http://purl.obolibrary.org/obo/CL_0000015
CL:0000016,male germ line stem cell,http://purl.obolibrary.org/obo/CL_0000016
CL:0000017,spermatocyte,http://purl.obolibrary.org/obo/CL_0000017
CL:0000018,spermatid,http://purl.obolibrary.org/obo/CL_0000018
CL:0000019,sperm,http://purl.obolibrary.org/obo/CL_0000019
CL:0000020,spermatogonium,http://purl.obolibrary.org/obo/CL_0000020
CL:0000021,female germ cell,http://purl.obolibrary.org/obo/CL_0000021
CL:0000022,female germ line stem cell,http://purl.obolibrary.org/obo/CL_0000022
CL:0000023,oocyte,http://purl.obolibrary.org/obo/CL_0000023
CL:0000024,oogonial cell,http://purl.obolibrary.org/obo/CL_0000024
CL:0000025,egg cell,http://purl.obolibrary.org/obo/CL_0000025
CL:0000026,invertebrate nurse cell,http://purl.obolibrary.org/obo/CL_0000026
CL:0000027,smooth muscle cell neural crest derived,http://purl.obolibrary.org/obo/CL_0000027
CL:0000028,CNS neuron (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000028
CL:0000029,neuron neural crest derived,http://purl.obolibrary.org/obo/CL_0000029
CL:0000030,glioblast,http://purl.obolibrary.org/obo/CL_0000030
CL:0000031,neuroblast,http://purl.obolibrary.org/obo/CL_0000031
CL:0000032,neuroplacodal cell,http://purl.obolibrary.org/obo/CL_0000032
CL:0000033,apocrine cell,http://purl.obolibrary.org/obo/CL_0000033
CL:0000034,stem cell,http://purl.obolibrary.org/obo/CL_0000034
CL:0000035,single fate stem cell,http://purl.obolibrary.org/obo/CL_0000035
CL:0000036,epithelial fate stem cell,http://purl.obolibrary.org/obo/CL_0000036
CL:0000037,hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037
CL:0000038,erythroid progenitor cell,http://purl.obolibrary.org/obo/CL_0000038
CL:0000039,germ line cell,http://purl.obolibrary.org/obo/CL_0000039
CL:0000040,monoblast,http://purl.obolibrary.org/obo/CL_0000040
CL:0000041,mature eosinophil,http://purl.obolibrary.org/obo/CL_0000041
CL:0000042,neutrophilic myeloblast,http://purl.obolibrary.org/obo/CL_0000042
CL:0000043,mature basophil,http://purl.obolibrary.org/obo/CL_0000043
